type,text
Retweet,"¡Mañana! Te invitamos a seguir la #CuentaPública2023 encabezada por el Presidente @GabrielBoric 🇨🇱

🗓Jueves 01 de junio desde las 11:00 horas, a través de nuestras redes sociales.

¡Conéctate y participa!

#PresentesPorChile https://t.co/Y7X4euEmAc"
Retweet,"Las consideraciones:
38.254 torturados y presos políticos.
3.227 Ejecutados y desaparecidos.
250 000 exiliados. 
Clausera del Congreso, proscripción de los partidos políticos.
Prohibición de la libertad de opinión.
Censura previa y control de los medios.
Dos policías políticas."
Tweet,Avanzamos!
Retweet,"Publicada ley del #SalarioMínimo a 500 mil pesos y apoyo a pymes 🫶

#buenmiércoles ✨ https://t.co/TdVc0WQNLy"
Retweet,"Las y los parlamentarios tienen derecho a iniciar Acusaciones Constitucionales, pero es su deber presentarlas con un mínimo de rigurosidad; la ""Guía de sexualidad afectiva"" que se usa como fundamento no es de este Mineduc ni de este Gobierno. Y de paso, respetar las diversidades…"
Tweet,"Hoy nos reunimos en Brasilia junto a @LulaOficial y líderes de los países de Sudamérica, para avanzar en medidas concretas en torno a desafíos comunes como  migración, transición energética, inversión y seguridad. https://t.co/hyY4epz2Rv"
Retweet,Delegación Presidencial anuncia trabajo con municipios para demoler mausoleos narcos en la Región Metropolitana https://t.co/hMY4rnqmJD https://t.co/3HL0WAq4R1
Retweet,"¡Ley para la naturaleza en su recta final! 🌱 

🤝 Como @MMAChile valoramos el respaldo transversal que obtuvieron ayer la mayoría de los artículos revisados en Comisión Mixta del @Senado_Chile.

En hilo… 🧵👇🏽 https://t.co/4sdUqfDyc2"
Retweet,"🗻 | Buenas noticias para Codelco: Maricunga tiene la segunda mayor concentración de litio a nivel mundial
https://t.co/6Dvb8gDqhb https://t.co/PaoH9XoOs3"
Retweet,"La información ya circuló por todas partes y al público objetivo poco le van a importar las aclaraciones y 3) tal vez lo más interesante, cómo ciertos asuntos públicos no se politizan de manera automática sino que responder a actores buscando instalar agenda 2/3"
Retweet,"El Ministerio de Justicia y DDHH realizó esta mañana su cuenta pública anual, en el auditorio del Museo. En la ocasión, el ministro Luis Cordero detalló los avances en el diseño del Plan de Búsqueda de detenidos desaparecidos, que será presentado oficialmente en agosto.

1/3 https://t.co/gyLu5nY2s1"
Retweet,"¡Golpe al narcotráfico!  

La @PDI_CHILE desbarató una organización criminal dedicada a la internación y tráfico de drogas, logrando incautar cerca de dos toneladas de droga avaluada en más de 10 mil millones de pesos. 
Seguimos trabajando para combatir el crimen organizado y por… https://t.co/vl2dT99PnU"
Retweet,"⚠️Respecto de consultas que hemos recibido por la nota de @ElMercurio_cl sobre ciertos aspectos de la Política de Sexualidad Afectividad y Género del @Mineduc, es necesario que los medios de comunicación sean precisos en la información que entregan, para evitar confusiones.

1/7"
Retweet,El combate contra el crimen organizado y el narcotráfico avanza. Desde la Brigada Antinarcóticos de @PDI_CHILE damos cuenta de los resultados de la Operación Vigia: incautación de casi 2 toneladas de drogas avaluada en más de $10.000 millones y 4 detenidos. https://t.co/APfD2K7ie1
Retweet,"Ayer aprobamos salario mínimo + subsidio a mipymes y cooperativas, pero esto no para. Hoy comenzamos la tramitación del proyecto que hará una realidad el pago en 30 días  y seguimos tramitación de modernización de compras públicas (q aumentará las compras a mipymes). Avanzamos!"
Retweet,"Hoje os 12 países da América do Sul se encontram, o que não acontecia há quase 10 anos. Todas as regiões do mundo possuem fóruns comuns. Vamos avançar, com respeito às diferenças e à soberania.
🇦🇷@alferdez 🇧🇴@LuchoXBolivia 🇨🇱@GabrielBoric 🇨🇴@petrogustavo

📸: @ricardostuckert https://t.co/7nIWhaH4Md"
Retweet,La incorporación de los delitos de violencia intrafamiliar al STOP de @Carabdechile permite una respuesta más rápida y oportuna  ante emergencias. Avanzamos junto a @min_interior porque la seguridad de las mujeres también es seguridad pública ✅️ https://t.co/KZTfYoQkS5
Retweet,"¡Qué alegría ser parte del avance de nuestro país, velando por su gente!  Se aprobó el proyecto de ley q aumenta gradualmente el #SueldoMínimo a $500 mil, iniciativa q también apoya a MiPymes y cooperativas para mejorar la calidad de vida de trabajadoras, trabajadores y familias."
Retweet,"Aprobado  aumento al #SueldoMínimo !
Este proyecto considera apoyos económicos concretos a MiPymes y cooperativas, como el subsidio por trabajador entre mayo 2023 y abril 2025, y la tasa de impuesto de Primera Categoría de 12,5% en el régimen PYME. https://t.co/c3PVhwjWkq"
Retweet,En el día del #patrimonio nos topamos con el presidente @GabrielBoric https://t.co/QSlFLy9Xxe
Retweet,"¡Avanzamos en protección de social! 🙌🏽

Este 2023 partiremos beneficiando a más de 500 mil niñas, niños y adolescentes que no estaban recibiendo el Subsidio Único Familiar. Ahora lo obtendrán automáticamente y sin necesidad de postular a él ✅ https://t.co/qRgMnf7Hfl"
Retweet,"Presidente @GabrielBoric llegó a Brasil junto al canciller @AlbertoKlaveren para participar de la Reunión de Presidentes de los Países de América del Sur, encuentro convocado por el Presidente @LulaOficial para fortalecer la integración de la región y avanzar en una agenda común. https://t.co/ueJSB9AUxE"
Retweet,"¡UN LOGRO HISTÓRICO! ¡La Cámara acaba de aprobar el proyecto que aumentaría el #SalarioMínimo a $500 mil a julio 2024! 💪

Este proyecto, otro compromiso de nuestro Gobierno, será un importante alivio al bolsillo de las familias trabajadoras de menores ingresos de Chile 🇨🇱.…"
Retweet,Aprobado #SalarioMinimo a 500 mil pesos 🫶
Tweet,"Acabo de aterrizar en Brasil para participar en reunión Sudamericana de Presidentes con mucha alegría por aprobación del #SueldoMínimo. Con aumento histórico a 500 mil pesos y acuerdo transversal con MiPymes y cooperativas, avanzamos en mejor calidad de vida para todas y todos."
Retweet,Hemos disminuido los tiempos de  #Listasdeespera un 32% para cirugías y 22% para Consulta de especialidad en el primer año de gestión del Pdte @GabrielBoric. Esto significa que estamos atendiendo más pacientes y más rápido las necesidades de salud de las personas. #QueSeSepa
Retweet,Llegamos a la #LaGranja para participar del lanzamiento del Sistema Nacional de #SeguridadMunicipal de la @SubPrevDelito 💪🏼 Junto a distintos alcaldes y alcaldesas a lo largo de #Chile valoramos enormemente este plan que le entrega protagonismo al trabajo en seguridad (1/4)👇🏼 https://t.co/uY5t5dZQQm
Retweet,Este sistema se sustenta en una decisión que tomó el Presidente Gabriel Boric de incrementar en un 65 por ciento el presupuesto para prevención del delito de los municipios de Chile este año. https://t.co/YZwoIvuTl6
Retweet,“Nunca más los municipios van a concursar con otros para obtener recursos en prevención del delito”: @GobiernodeChile lanza el Sistema Nacional de Seguridad Municipal. https://t.co/m6gIlLad90
Retweet,PDI informa disminución de los homicidios a nivel nacional en comparación a 2022 https://t.co/9M9nlFPYmA
Retweet,"🚨Lanzamos el Sistema Nacional de Seguridad Municipal, que busca fortalecer las capacidades de gestión municipal para contribuir a la prevención del delito y disminución de la violencia.  

¿Cómo funciona? El SNSM tiene 3 ejes👇🏽 https://t.co/PJmE8KhOkK"
Retweet,"Esta semana se concretará, por fin, el cierre de la Fundición Ventanas, un compromiso de Gobierno del Presidente @GabrielBoric. Es una de las 40 medidas que buscan una transición socio-ecológica justa y protección del medioambiente, e incluyen la reconversión laboral y medidas… https://t.co/9mzBWgvBvg"
Retweet,"Mientras el sueño de la Línea 9 del @metrodesantiago avanza, nosotros trabajamos en sacarle el provecho máximo a la llegada de esta maravilla. Se llama La Pintana del Futuro y será un subcentro urbano, para que nuestros vecinos y vecinas tengan los servicios que se nos han negado… https://t.co/z1ruw82R6L"
Retweet,"👋 Una joven Jeannette les saluda y desea una buena semana ☺️❤️✨ Agradecimientos a la nota de @lun, les dejo enlace https://t.co/80DibnctGS https://t.co/aYC83vyaSA"
Retweet,"#BuenLunes ✨

Hoy se vota #SalarioMinimo a 500 mil, falta solo la última votación de la @Camara_cl 

Esperamos su aprobación para que las familias y empleadores tengan certezas del pago de este mes."
Tweet,"Han sido hermosos los días del patrimonio. Nos hace bien como sociedad disfrutar lo que es de todos, cuando nos encontramos en los lugares que nos unen."
Retweet,"¡Hoy tuve el gran honor de guiar, por segundo año consecutivo y junto a la ministra @Carolina_Toha, un recorrido de La Moneda en el #DiaDeLosPatrimonios! 

Este fin de semana las y los invito a visitarnos y a conocer los miles de lugares que abrirán sus puertas a lo largo de… https://t.co/V9hyVm4zuw"
Retweet,"📄 La propuesta del Ejecutivo apunta a no otorgar más concesiones para el cultivo de especies exóticas (como los salmones) en AP. Esta restricción operaría a futuro, *con el fin de* proteger los actuales puestos de trabajo de las que ya fueron otorgadas (4/5)"
Retweet,"Nos encontramos tramitando la #LeyParaLaNaturaleza, que creará un Servicio de Biodiversidad y Áreas Protegidas #SBAP, esencial para completar la institucionalidad ambiental del país. Han surgido dudas respecto a los impactos en la salmonicultura y quisiera aclararlos 🧵(1/5) https://t.co/1Gc85KboCA"
Retweet,"📢🎤 El Museo de la Memoria y los DDHH, junto a la compañía de Teatro Hermanos Ibarra Roa, les invitan a una convocatoria abierta para participar de “Danza y Coro 50 años, + de 100 voces”, un homenaje ciudadano a las víctimas de la dictadura.

1/5 https://t.co/yeB29XU9eP"
Retweet,"#QueSeSepa: ¡hay más buenas noticias para nuestro país!
✅ Nuevo Hospital para #Huasco.
✅ #GobiernoEnRegiones: Ministras/os, subsecretarias/os en cuentas públicas regionales.
✅ #MásSeguridad con el Plan de Infraestructura para Seguridad.
✅ Avanza la Estrategia Nacional del… https://t.co/xPsg0aUoDJ"
Tweet,Estamos recuperando lo que es de todos.
Retweet,"En 20 de las 30 recuperaciones de terrenos fiscales que se han realizado este último año, los inmuebles ya fueron destinados o están en trámite para construir obras de salud, seguridad y otras prioridades ciudadanas. 

Les dejo esta nota de Emol ⬇️ https://t.co/jFy0Om7d0f"
Retweet,"🗺️ A sólo tres días del #DíaDeLosPatrimonios, hoy re lanzamos las Rutas Patrimoniales, un circuito de 76 recorridos a lo largo del país, que buscan poner en valor nuestro patrimonio natural, cultural y de memoria. 

L@s invito a conocer las rutas aquí: https://t.co/G6YUc4pVI3 😉 https://t.co/fuknTyeetk"
Retweet,"Durante mi visita a la Región de Coquimbo conversé con @LaRegionDiario, donde me referí a los avances de #GobiernoEnRegiones, y en particular, la robusta agenda de seguridad que seguimos impulsado. 

Puedes leer la entrevista completa en: https://t.co/fnD6r1kAIA https://t.co/aImlqDP71v"
Retweet,"Claro, en el #DiaMundialDeLaBiodiversidad estamos trabajando para que Chile cuente con un Servicio Público que proteja no sólo la biodiversidad marina, sino toda la
naturaleza #LeyParaLaNaturaleza #SBAP 🦋🍀🌎🐝🐙🐠🦙🐬💪"
Retweet,"🗞️ PRENSA | La ministra @Maisa_Rojas abordó en @DFinanciero los avances y detalles del proyecto de ley de crea el Servicio de Biodiversidad y Áreas Protegidas (SBAP) 🌱 que permitirá fortalecer las competencias de nuestra institucional ambiental. 

📌 https://t.co/sDrMMjfkVY https://t.co/6UicEMW8iC"
Retweet,"¡A las 11:30 conéctate a #GobiernoInforma🇨🇱!
📣 En este nuevo capítulo, te enterarás todo lo que debes saber para vivir la  sobre la fiesta cultural más grande del país: el #DíaDeLosPatrimonios.
Este 27 y 28 con más de 2000 actividades 🏛️💙
#RecuerdosParaElFuturo https://t.co/SfnZrhjnc6"
Tweet,Avanzamos juntos @ClaudiaPizarro!
Tweet,La Salud Mental importa!
Retweet,Nos comprometimos y cumplimos con Panguipulli. @MuniPangui https://t.co/fhbTlNLKZn https://t.co/732KOlbbS7
Retweet,"¿Conoces el trabajo legislativo para mejorar la vida de las y los chilenos?👇🏽
✅70 proyectos de ley
✅103 leyes promulgadas
✅166 indicaciones a proyectos en trámite
✅21 leyes tramitadas
✅1.493 decretos supremos revisados
✅5 escritos ante Cortes de Apelaciones y el TC https://t.co/EmtFnFgVqq"
Tweet,"Hoy participé de manera virtual en la celebración de los 30 años de la @AChMChile, agrupación fundamental en relevar la importancia e incidencia de los gobiernos locales.

Como @GobiernodeChile estamos convencidos que trabajando codo a codo a las autoridades locales podremos… https://t.co/3KVVY92Wy7"
Reply,"@crockpics Idiot wind, del Blood on the Tracks"
Retweet,"""Buscar fórmulas para fortalecer la democracia"" dice 
@IrinaKaramanos en perfecto alemán invitada especial a la #SPDFraktionBundestag  @spdbt en el Bundestag en Berlín. 

Junto a prominentes políticos reflexionan sobre Chile y Latinoamérica. 
@MartinSchulz
@SvenjaSchulze68 https://t.co/lL1MgBPxYC"
Retweet,"Aquí con las organizaciones sociales y sindicales de la región de #Coquimbo. Hablamos de la aprobación de las #40horas y de cómo el poder del diálogo logró lo que parecía imposible. 
¡Este avance se convirtió en una realidad que mejora la vida de trabajadoras y trabajadores! 💪 https://t.co/TMVHUOmUnn"
Retweet,"Nuestro Plan #CallesSinViolencia sigue entregándonos importantes resultados. Estamos en la cuarta región y hoy realizamos un conversatorio de esta iniciativa en la Segunda Comisaría de Coquimbo junto a vecinos, dirigentes y autoridades. Seguimos avanzando #GobiernoEnRegiones https://t.co/8U1C4ZTLib"
Retweet,"¡Seguimos avanzando en #LitioParaChile!

Para dar inicio al proceso que permitirá incorporar al Estado 🇨🇱 en las operaciones productivas de litio en el Salar de Atacama, Corfo le ha encargado a Codelco representar al Estado en las negociaciones para conformar una alianza… https://t.co/I3aopqE1y7"
Retweet,🚜 Máximo Pacheco: “Codelco le dará un tremendo impulso a la producción de litio en Chile” https://t.co/essGHNC5hA https://t.co/e5BYE8oa03
Retweet,"¿Sabes qué contempla la #LeyPensionesDeAlimentos? 👀 La ministra @totiorellanag, detalla los alcances de la ley, que es una solución concreta para miles de madres, niñas, niños y adolescentes en nuestro país 🇨🇱 Porque #YaNoEstásSola.  

📲Video completo: https://t.co/Mz86NXbB20 https://t.co/Uhs5r9HmjY"
Retweet,Muchas gracias Senador @ifloressenador es muy gratificante ver cómo de forma anticipada y en regiones las #40horas se hacen realidad. Un abrazo a la región de #LorRíos y a la imprenta Montaris 🤗
Tweet,"Hoy tuvimos una jornada de Cuentas Públicas Participativas a lo largo de Chile, en donde delegadas y delegados presidenciales, en compañía de ministras y ministros, mostraron los avances de nuestro Gobierno en las regiones y los desafíos que tenemos por delante. https://t.co/PjH0jo6dPN"
Reply,"En ese objetivo seguiremos trabajando a toda máquina, con gestión, desde los territorios, para entregar mayor bienestar a todos y todas en nuestra patria. #GobiernoEnRegiones, presentes por un mejor futuro! https://t.co/iiBfhHvlLp"
Retweet,"Es clave poder concretar los compromisos que no solamente son del Gobierno, sino que de todos quienes creemos que podemos mejorar como país para avanzar en un mayor desarrollo. Por eso, logramos las últimas semanas sacar del Congreso el Royalty minero, ley para los delitos de… https://t.co/Qy8AyamsJK"
Retweet,"Hoy inauguramos el condominio San Agustín, que beneficia a 65 familias de Renca. Proyecto que destaca por centralidad con acceso a diversos servicios y equipamientos. Los departamentos cuentan con una superficie de 57,41 m2 y dos están destinados a personas con movilidad reducida https://t.co/t3OsIonTTQ"
Tweet,Yo entiendo que La Tercera tenga una línea editorial crítica del gobierno. Están en todo su derecho y amparados en la libertad de prensa. Pero les pido que en su ánimo de golpear no inventen noticias falsas con fuente en off involucrando a otras instituciones como Carabineros.
Tweet,"Inauguramos el nuevo Hospital Comunitario de Huasco, un proyecto tan anhelado por vecinas y vecinos que se hace realidad gracias a un esfuerzo conjunto entre el Estado, el Gobierno Regional y la comunidad.

Así como lo hicimos con #CopagoCero y la reducción de las listas de… https://t.co/W310ybJEJd"
Tweet,"La ex Presidenta Bachelet respalda nuestra estrategia nacional del litio y la colaboración público-privada. Además señala algo muy importante, hay una continuidad de Estado, lo que nos da seriedad y proyección. https://t.co/NUkMbAWhSu"
Retweet,"Agradecemos su trabajo, senadora, y el de toda la comisión. Esta es una muy buena ley, que permitirá que Estado aumente en 300 millones de dólares la compra a Mipymes, y de regiones (cuando la compra sea en una región)"
Retweet,Un honor para el @mop_chile ejecutar este trabajo maravilloso. Gracias @IquiqueDeTodos por la confianza. https://t.co/PNLXIAcIkb
Retweet,"Es hoy! Entra en vigencia nuestra ley de #ResponsabilidadParental y #PagoEfectivo de pensiones de alimentos. Una política para la mayoría de hogares en Chile, que son sacados adelante por mujeres. 💕 https://t.co/kukyox9FAu"
Retweet,Hacemos nuestra #CuentaPublicaParticipativa2023 en un día muy especial ya que entró HOY en vigencia la #LeyPensionesDeAlimentos que facilitará la búsqueda de patrimonio de deudores y mejorar la vida de miles de madres. https://t.co/kPbTpUTnJC
Tweet,"Seguimos impulsando medidas que mejoren la vida de las y los chilenos! Conoce las buenas noticias de esta semana, #QueSeSepa 🇨🇱 https://t.co/8NGLbuaGPG"
Retweet,El mundo cultural y patrimonial se enluta con el fallecimiento de una mujer imprescindible. Marta Cruz-Coke fue una pionera. La primera mujer en dirigir la ex Dibam -actual @patrimonio_cl- y también primera directora de la @BNChile. https://t.co/fNZsKw7G6Z
Retweet,Presidente Boric junto a jefes de Estado envía carta al G7 pidiendo acelerar combate al cambio climático https://t.co/he1Qs4iFG1 https://t.co/ueQvLGC6CL
Retweet,"👏Nos alegra que en el primer día de funcionamiento del #PortalPaciente:
✅2870 personas se autenticaron con Clave Única
✅2112 personas consultaron datos de Listas de Espera
✅1900 personas actualizaron sus datos de contacto

📲 https://t.co/7Q30KFFEhw https://t.co/ohGm9RJJhz"
Retweet,"📣 ¡Medidas concretas! 

El Presidente @GabrielBoric y la ministra @totiorellanag presentaron la #LeyPensionesDeAlimentos, que comienza a regir este 20 de mayo para mejorar la vida de miles de madres, facilitando la búsqueda de patrimonio de deudores. #YaNoEstásSolas https://t.co/lW58nFkbDm"
Retweet,"Hoy ha fallecido Augusto Góngora (1952 – 2023) 🌹, destacado periodista, documentalista y hombre de televisión, uno de los fundadores de Teleanálisis, medio que fue fundamental para informar sobre las violaciones a los derechos humanos durante la dictadura.

1/6 https://t.co/kk2UQrsYMg"
Retweet,"¡#QueSeSepa que terminamos la semana con buenas noticias! 💫

✅ Más desarrollo regional con #RoyaltyParaChile y el proyecto de ley #RegionesMásFuertes.
✅ Con #CopagoCero, avanzamos en la reducción de la lista de espera y lanzamos https://t.co/1NjvCIK83b
✅ Mañana comienza a… https://t.co/QHndYgdFjC"
Tweet,"Hoy ha partido Augusto Góngora, gran periodista que llevó la cultura de nuestro país a lo más alto y fue parte del valiente equipo de Teleanálisis. Un gran abrazo a su compañera, Paulina Urrutia, su familia y seres queridos en este difícil momento."
Tweet,"Mañana entra en vigencia la #LeyPensionesDeAlimentos, paso fundamental en justicia y dignidad para miles de madres junto a sus hijas e hijos. A esas mujeres les decimos que ya no están solas, que se reconocerá su lucha y que el Estado se encargará de investigar el patrimonio de… https://t.co/jrOxx5EZSE"
Retweet,"🗣️ Presidente Boric responde a filtración de Milad: “Esto no es un caramelo, esto es responsabilidad. Esto no es populismo, esto es justicia”

https://t.co/sS5iE7GGUf https://t.co/Jm8IqeVLgs"
Retweet,"Presidente Boric por ley de pago de pensiones de alimentos: ""Gracias a las mujeres que se han movilizado y han puesto este tema sobre la mesa, ya no están solas"" https://t.co/usdVhexHx7"
Retweet,"#CNNAM | Minsal informa que tiempos de espera quirúrgica bajan 39%.

Subse. de Redes Asistenciales: ""La principal preocupación del pdte. es la disminución de los tiempos de espera (...). Hay una tendencia positiva, pero todavía estamos lejos de los tiempos que queremos"" https://t.co/Ku8OIYrszd"
Retweet,"Mañana comienza a regir la #LeyPensionesDeAlimentos Una solución real y concreta para miles de mujeres de nuestro país. El presidente @GabrielBoric se lo dijo a madres y organizaciones de mujeres: 

#YaNoEstásSola Ahora será el Estado el persecutor del patrimonio del deudor🫰🏼 https://t.co/UqH5Jg2iRA"
Retweet,"¡Atención! Mañana entra en vigencia la Ley de Responsabilidad Parental y Pago Efectivo de Pensiones de Alimentos. Las mujeres ya no estarán sola; tendrán la certeza de que el Estado velará porque efectivamente reciban las pensiones de sus hijos e hijas, y no tengan que perseguir… https://t.co/wdz8K6kRyO"
Retweet,"AHORA | Presidente @GabrielBoric y ministra @TotiOrellanaG presentan detalles de la #LeyPensionesDeAlimentos, próxima a entrar en vigencia. https://t.co/5Gwm8Uwxj9"
Retweet,"Es urgente enfrentar la crisis climática. Chile no lo puede hacer solo, por eso, junto a otros países, le pedimos a las naciones más ricas que nos ayuden a impulsar la eliminación gradual de los combustibles fósiles. La #COP28 será crucial para llegar a acuerdos que el🌎necesita."
Retweet,"Estoy contenta con el trabajo que hicimos como Comisión Experta para escribir un anteproyecto de NC democrático. Aún hay desafíos pendientes, pero hemos avanzado en acuerdos importantes. Siempre hay renuncias, pero de eso se trata, en parte, la democracia, de diálogo y respeto."
Retweet,"#AgendaEconómica | Representante senior de Eramet en Chile, Hubert Porte, por asociación pública-privada del litio: ""Es muy bueno que el Gobierno tenga la voluntad de lanzar y desarrollar la industria del litio en Chile, faltaba eso""

📡En vivo: https://t.co/Esutw9tjY5 https://t.co/bevxvTUTUO"
Retweet,"A 50 años del Golpe de Estado: siete Sitios de Memoria se convertirán en Monumentos Históricos

https://t.co/vkupgh9Ikx"
Retweet,"Ministra de la Mujer responde a dichos de Pablo Milad: ""Tratar de 'caramelo' la pensión de alimentos no me parece"" https://t.co/YUnjJazXvn"
Retweet,"¡Visita el nuevo #PortalPaciente! 🙌🏽 Para mejorar la calidad de la atención médica y la satisfacción del paciente, lanzamos https://t.co/HiDm4rUjNp 📲 Ingresa con clave única y conoce las prestaciones de salud.

Trabajamos por reducir los tiempos de espera y mejorar la salud👇🏽 https://t.co/YsFfufcBxk"
Retweet,"En este #DíaInternacionalDeLosMuseos, compartimos contigo algunas exposiciones que se encuentran disponibles de norte a sur 🏛👇🏽

📌Recuerda que puedes revisar más detalles en las redes de @ChileCulturaGob y https://t.co/nVPwIuuPaQ https://t.co/U29odIOcTI"
Retweet,"El #CopagoCero tiene efectos reales en la vida de las personas 👏🏽 Conoce la historia de Aymará Pérez (9 años), quien tiene Síndrome de Turner y es usuaria del Hospital Félix Bulnes👇🏽

https://t.co/3b2E2NYPhj"
Retweet,Más áreas verdes en Santiago: inicia programa que busca plantar 30 mil árboles en 34 comunas de la RM https://t.co/GABcJ9KR8v https://t.co/wME82aqhdu
Retweet,"[VIDEO] Gobierno inauguró 38 microbancos de alimentos que recuperarán frutas y hortalizas a lo largo del país

https://t.co/AG38J2Z1Ef https://t.co/hpxVle6RCh"
Retweet,🚨 AHORA |  El PIB de Chile cae en el primer trimestre más suave que lo anticipado y cuenta corriente sorprende con superávit https://t.co/06uuj7Veaf https://t.co/5s0YY3d6jo
