type,text
Tweet,Marcel: La salida del subsecretario Larraín no pone en peligro la reforma de pensiones #CooperativaContigo https://t.co/V8g3Z9BnKb https://t.co/E5kr7B6k3r
Tweet,[Audio] Director de Blanco y Negro: No se ha discutido sobre un regreso de Oscar Opazo #CooperativaContigo https://t.co/PmOKBrjIT6 https://t.co/Pmm8vQVbrA
Tweet,PDI detuvo a sospechoso de violación en Arica #CooperativaRegiones https://t.co/suvy5zJEiy https://t.co/AYUcsfXGrr
Tweet,[Video] Auto salió volando tras encontrarse con una rampa en el camino en EEUU #CooperativaContigo https://t.co/FiFkOXP5kK https://t.co/HdOFxBK4kq
Tweet,#CooperativaContigo Izquierdista alemana irá a la cárcel por ataques en serie contra neonazis: https://t.co/9WqhBp5xor https://t.co/VMPpRERO0W
Tweet,En su décimo aniversario: BTS anuncia nuevo single con sus 7 integrantes #CooperativaContigo https://t.co/k9XSAJI1ZS https://t.co/pREpn1UpwZ
Tweet,[Audio] #CooperativaContigo Claudio Fuentes: La Cuenta Pública puede servir para definir una hoja de ruta estratégica y acotada https://t.co/ZZcsjITocG https://t.co/c5O30xgqA6
Tweet,Carlos Alcaraz derribó la resistencia de Taro Daniel y avanzó en #RolandGarros #CooperativaContigo https://t.co/XvTheGrL50 https://t.co/IFiTlFuxdv
Tweet,Detienen a conductor que lanzó cono de tráfico a Carabineros: Momento quedó grabado #CooperativaContigo https://t.co/nRULULm0zD https://t.co/1dCQVPSo2m
Tweet,"#CooperativaContigo Diputados de izquierda presentan proyecto para castigar el negacionismo cuando afecte ""el derecho a la honra y la dignidad de las víctimas y sus familiares"": https://t.co/ZY2ko73Yk1 https://t.co/1tVFvPCcXV"
Tweet,Stan Wawrinka fue eliminado de Roland Garros tras maratónico encuentro #CooperativaContigo https://t.co/avoSQvR5To https://t.co/UirxqRvS4R
Tweet,"[Video] Francisca Valenzuela lanzó su nuevo sencillo: ""¿Dónde se llora cuando se llora?"" #CooperativaContigo https://t.co/MCEwwqJRg3 https://t.co/8mxidTXsJf"
