type,text
Tweet,"Gui Haichao hace historia 😎
https://t.co/OqXTTvMHSU"
Tweet,"El viaje hacia Namekuseí duró meses, de acuerdo con lo que explica Bulma en Dragon Ball Z
https://t.co/WG2tJw0L85"
Tweet,"A pesar de ser una de las maravillas naturales del planeta, parte de la zona está contaminada con montones de plásticos y otros desechos 👀
https://t.co/PuNlZ4nwet"
Tweet,"Newton evaluó versículos bíblicos del Libro de Daniel y el Apocalipsis 😱
https://t.co/WycoTrSGI4"
Tweet,"Una función divertida 😁
https://t.co/maidLhdWDQ"
Tweet,"Farándula Tech. Bezos, de 59 años, y Sánchez, de 53, festejaron su compromiso en Francia 👀
https://t.co/dLogMzsWtx"
Tweet,"La tecnología vuelve a sorprendernos 😉
https://t.co/U1mfhL6mae"
Tweet,"El CEO de Hewlett-Packard (HP) habla del futuro del mercado de las Computadoras Personales (PC) y su integración con sistemas de Inteligencia Artificial 😎
https://t.co/6v14WhBAWE"
Tweet,"Canalys revela las cifras globales de embarques de smartphones durante el primer trimestre de 2023. El iPhone 14 de Apple arrasó pero hay un detalle  👀
https://t.co/Xih5FqMzBs"
Tweet,"La aplicación se renueva para ofrecer una mejor experiencia a sus usuarios 👀
https://t.co/gqYTfX2wsw"
Tweet,"La leyenda del fútbol italiano, Andrea Pirlo, se unirá al torneo de Gerard Piqué; descubre con cuál equipo 👀
https://t.co/XVgXGxAXUH"
Tweet,"El telescopio Daniel K, perteneciente al Observatorio Nacional del Sol (NSO, por sus siglas en inglés) captó nuevas imagenes del astro Sol 😱
https://t.co/o4a3TYCFjV"
Tweet,"El profesor George Gao enfatizó que en ciencia no hay que descartar nada 👀
https://t.co/6TaSbtNFhH"
Tweet,"Provenían de cinco países distintos 😱
https://t.co/m1zOPtgEEt"
Tweet,"La película ha tenido una receptividad discreta en taquilla 👀
https://t.co/Vfyxq9j07h"
Tweet,"El actor, luego de la manera en que murió en GOT, dejó que los fanáticos tocaran sus ojos, pero trajo consecuencias 👀
https://t.co/04HUuoFQ0Y"
Tweet,"El dato rosa del día ... 😅
https://t.co/6ppJPtWy52"
Tweet,"El visor de Realidad Mixta que presentaría Apple en el WWDC 2023 acaba de filtrar sus especificaciones con resolución acumulativa 8K y un precio bastante elevado 😁
https://t.co/AroFf2248J"
Tweet,"Pobrecito helicóptero 😅
https://t.co/bgJRx8R9LF"
Tweet,"Una mancha solar que hasta poco era casi imperceptible, ahora supera por cuatro el tamaño de nuestro planeta 😱
https://t.co/kryutRULOv"
Tweet,"Obras de arte 😎
https://t.co/3umwNTEPFr"
Tweet,"Está movido el debate sobre Inteligencia Artificial estas semanas 😱
https://t.co/tkRC0kRMdC"
Tweet,"Es profesor de Aeronáutica y Astronáutica en la Universidad Beihang 😎
https://t.co/wAw6oxVHkI"
Tweet,"La Inteligencia Artificial de Open Ai no abre en estos siete países del mundo. Sólo uno de Latinoamérica restringe el acceso al ChatGPT 👀
https://t.co/HtjJb9MC45"
Tweet,"La inteligencia artificial recrea a uno de nuestros personajes favoritos del mundo Pokémon 😁
https://t.co/t7Mo0Btx7E"
Tweet,"La última etapa es la que podría ser peligrosa... 👀
https://t.co/5L0V1x3Ntu"
Tweet,"Útil para discusiones de trabajo o estudio 😎
https://t.co/HUcLezoHLa"
Tweet,"Farándula Tech. Bezos, de 59 años, y Sánchez, de 53, festejaron su compromiso en Francia 👀
https://t.co/dLogMzsoDZ"
Tweet,"La inteligencia artificial nos muestra la versión ‘envejecida’ de varios artistas 👀
https://t.co/TVNIMorzwS"
Tweet,"La creciente popularidad de Gmail ha dejado a Google con una cantidad de cuentas casi sin precedentes 😅
https://t.co/Ta96N8afXp"
Tweet,"Apple actualiza el sitio de su próximo WWDC 2023 y mete un curioso easter egg que casi confirma que viene su visor de Realidad Aumentada 😁
https://t.co/HCOUiaiSyD"
Tweet,"Por fin se proyecta en dinero cuánto ha colapsado el valor de Twitter tras la adquisición de Elon Musk y las noticias son muy malas 😅
https://t.co/1OdhsSTY49"
Tweet,"Si la tecnología no es tu amiga, te decimos cómo quitar un programa o aplicación de Windows 11 😎
https://t.co/8o2gcHCIhk"
