type,text
Reply,@_GabyLobos_ ❤️❤️❤️❤️❤️❤️
Tweet,"Descarga nuestra aplicación 📱oficial de Metro y recibe notificaciones al instante acerca del estado de la red 🚇. Con esta app podrás tener información más actualizada en tiempo real.

Consíguela como Metro de Santiago Oficial en tu Play Store (android) o App Store (Iphone). https://t.co/FbW8LfajtN"
Reply,"@KarenFu05328984 @whoisfraaaan @rchirinokarate Karen, dimos aviso de todo lo ocurrido al área a cargo para que se revise con el equipo. Lamentamos los inconvenientes. Slds."
Reply,"@whoisfraaaan @KarenFu05328984 @rchirinokarate Fran, lamentamos este inconveniente. Informaremos al equipo a cargo para que se revise lo ocurrido. Slds."
Reply,@FreeDomLesS1 @rchirinokarate Vamos a revisar esto con el personal. Lamentamos los inconvenientes. Slds.
Reply,@HobbitJoly @FreeDomLesS1 @rchirinokarate Ese fue otro evento que causó un corte de corriente porque una persona no autorizada bajó a las vías. Sentimos los inconvenientes. Slds.
Reply,"@mnasjajsjajaaj Hola, en Irarrazaval una persona no autorizada bajó a la vía y por eso tuvimos un corte de corriente."
Reply,"@KarenFu05328984 @rchirinokarate Karen, dónde informaron esto. No fue suspendida en ningún momento. Hemos estado trabajando."
Reply,"@FreeDomLesS1 @rchirinokarate Estefania, dónde dijeron esto. La línea no ha sido suspendida. Hemos seguido trabajando."
Reply,"@EsAntoniojota Hola, Antonio, hemos estado informado lo ocurrido."
Reply,"@Dani_san_ Dann, persona no autorizada bajó a la vía en Irarrázaval y por eso tuvimos un corte de corriente. Ya el servicio está restablecido"
Reply,"@geraldu76 @Matias58887257 Hola, tuvimos un retraso en la línea por una falla técnica que causó una demora en la salida de los trenes en Vicente Valdés. Además, en Irarrázaval, personas no autorizadas bajaron a las vías, generando  un corte de corriente. El servicio ha sido restablecido y trabajamos para…"
Reply,@IvanSarmientoM Gracias a ti por la comprensión
Reply,"@FreeDomLesS1 Hola, tuvimos un retraso en la línea por una falla técnica que causó una demora en la salida de los trenes en Vicente Valdés. Además, en Irarrázaval, personas no autorizadas bajaron a las vías, generando  un corte de corriente. El servicio ha sido restablecido y trabajamos para…"
Reply,"@mnasjajsjajaaj Hola, tuvimos un retraso en la línea por una falla técnica que causó una demora en la salida de los trenes en Vicente Valdés. Además, en Irarrázaval, personas no autorizadas bajaron a las vías, generando  un corte de corriente. El servicio ha sido restablecido y trabajamos para…"
Reply,"@Kathbarrera97 Hola, tuvimos un retraso en la línea por una falla técnica que causó una demora en la salida de los trenes en Vicente Valdés. Además, en Irarrázaval, personas no autorizadas bajaron a las vías, generando  un corte de corriente. El servicio ha sido restablecido y trabajamos para…"
Tweet,"📢 ¡Atención, estudiantes de la RM! No olviden revalidar su #TNE en la estación de inicio antes de viajar. ¡Es rápido y sencillo! #RevalidaTuTNE ¡Última oportunidad hasta el 31 de mayo! 👀 Obtén detalles adicionales en https://t.co/ZpJfvumuR9 y si requieres asistencia, comunícate… https://t.co/X6aPUBDx5f"
Reply,"@RebecaBenitoLo1 Hola, tuvimos un retraso en la línea por una falla técnica que causó una demora en la salida de los trenes en Vicente Valdés. Además, en Irarrázaval, personas no autorizadas bajaron a las vías, generando  un corte de corriente. El servicio ha sido restablecido y trabajamos para…"
Reply,"@gonxalito_69 Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Reply,"@Noahkatsuragi Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Reply,"@eliasv5 Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
