type,text
Tweet,Se llama MTG-I1 y es el satélite europeo más potente de Europa. Las primeras vistas de nuestro planeta son sencillamente espectaculares. https://t.co/AKvlqi1loP
Tweet,"Delia Akeley logró su hazaña en solitario. En 1925 inició un viaje de meses de duración, convivió con tribus africanas y superó innumerables peligros. https://t.co/uhLNbwDY14"
Tweet,"El chatbot ya es una aplicación oficial para iPhone, pero no para Android. Si quieres saber cómo instalarla en tu móvil, te explicamos cómo. https://t.co/APWQpJsEbt"
Tweet,"Más de 100 años después de que los científicos usaran datos sísmicos para descubrir el núcleo de la Tierra, la tecnología ha sido aplicada ahora a nuestro vecino planeta rojo. https://t.co/sOHiZyRn78"
Tweet,A partir del 30 de junio no podrán llamarte para venderte algo a no ser que lo hayas solicitado. https://t.co/oIUAABJ0Aa
Tweet,"Uno de los grandes sueños del ser humano es volar, pero la fuerza de la gravedad se empecina en mantenernos pegados a la Tierra. ¿Pero y si hubiera alguna forma de apantallar esa ladina fuerza? https://t.co/wF7YtuzRJI"
Tweet,"Y si lo tiene, pero sabemos que el universo está expandiéndose, ¿dónde exactamente estaría el corazón del cosmos? Resolvemos todas las dudas en este artículo. https://t.co/mDs2rLEEX3"
Tweet,¿Se te ocurren distintas formas útiles para vivir en la Luna? ¿Tienes ideas que crees que harían más fácil la vida en el nuestro satélite na https://t.co/mVt84mBSJu
Tweet,Los astrónomos creen que han encontrado los restos de esas explosiones cósmicas originales. https://t.co/AuivUEnWzK
Tweet,"Alrededor de los agujeros negros supermasivos que ocupan el centro de muchas galaxias se concentran grandes discos de gas y polvo en los que podrían formarse planetas más grandes que la Tierra, tal y como han propuesto investigadores japoneses. Estos ... https://t.co/58Bp2WmuXm"
Tweet,Un grupo de investigadores ha logrado envejecer ratones de forma acelerada. También ha sido capaz de revertir los efectos del envejecimiento. https://t.co/qraOijfyqg
Tweet,"Si llevas tiempo dándole vueltas a un problema y no encuentras solución, quizá lo que dice Harvard te saque del atolladero. https://t.co/X89NaKzOVc"
Tweet,"Como vehículo oficial del evento The Music Station, es la primera vez que el nuevo Bronco se presenta en sociedad y ha servido para acompañar a los artistas y grupos musicales más importantes https://t.co/5qJbIPtOxz"
Tweet,Muchos animales de aspecto terrorífico nunca atacan a los seres humanos ni a otros animales. ¿Sabrías decirnos cuáles? https://t.co/HLQyPCZqim
Tweet,Los científicos creen que las torres de comunicaciones móviles representarían una forma de localizarnos en nuestro vecindario cósmico. https://t.co/ZxWn8HwGqr
Tweet,"El colgante, un diente de ciervo, pertenecía a una mujer del Paleolítico, según han descubierto los investigadores. https://t.co/oCbt10i0Qf"
Tweet,"¿Te imaginas descubrir la fascinante historia de una española olvidada en Trípoli en el siglo XIX? Pues prepárate para sumergirte en la lectura del extracto exclusivo del primer capítulo de 'Últimos días en Trípoli' de Mario Garcés, publicado por ... https://t.co/Ky3ZQXoFhM"
Tweet,"En el cementerio de Viena (Zentralfriedhof), el tercero más grande de Europa, se encuentra una lápida con uno de los epitafios más singulares del mundo entero: se trata de una fórmula. ¿Pero qué significa? https://t.co/UZSDuhMDnp"
Tweet,La astrobiología es una ciencia muy joven y marcadamente interdisciplinar que puede traer un gran beneficio a la comunidad científica y a la sociedad haciéndonos cuestionar el lugar que ocupamos en el universo y en el mundo. https://t.co/Bu3zvpfPTM
