type,text
Tweet,"EMOL SOCIAL FACTS | Loteos irregulares y ocupación de terrenos: ¿Cómo se regula el derecho a propiedad en Chile y qué rol tiene el Estado?
&gt; Con dueños de predios y propiedades en indefensión, especialistas detallan los parámetros normativos, el desempeño de la Ley “Devuélveme mi… https://t.co/Yvrm65uKM1"
Tweet,"EMOL SOCIAL FACTS | Responsabilidad penal adolescente: Lo que establece la ley y los factores que inciden en la formación de jóvenes delincuentes
&gt; Especialistas explican los parámetros legales que regulan estos delitos, junto con las sanciones asociadas, las causas y medidas… https://t.co/ymig0uE4IU"
Tweet,"EMOL SOCIAL FACTS | ChatGPT y educación: Posibilidades y riesgos en el uso académico, lo que dicen las cifras
&gt; Ante el explosivo auge de este chatbot, académicos y expertos abordan su proliferación mundial, su alcance en Chile, y sus posibles usos académicos.… https://t.co/oRDgYqUba4"
Tweet,"EMOL SOCIAL FACTS | Violencia contra los docentes en Chile: Las preocupantes cifras al alza y las medidas que se proponen
&gt; Ante estos hechos, que han sido cada vez más frecuentes, el Colegio de Profesores, junto a especialistas, abordan el impacto de la inseguridad y el… https://t.co/yJBVhj0Bag"
Tweet,"EMOL SOCIAL FACTS | Tras un año de Estado de Excepción: Los datos de las comunas de la Macrozona Sur con la mayor cantidad de hechos violentos
&gt; Exautoridades, gremios y especialistas evalúan el desempeño de esta medida desde su aplicación, exponiendo las cifras relevantes y las… https://t.co/2dgcb7Mlpe"
Tweet,"EMOL SOCIAL FACTS | Cárceles especiales para narcos: Detalles del plan de infraestructura carcelaria del Gobierno
&gt; Desde el Ejecutivo y la mirada de expertos, se analiza esta medida en contraste con los principales problemas que hoy enfrentan las prisiones del país.… https://t.co/moDFMUp3uv"
Tweet,"EMOL SOCIAL FACTS | Aumento en las expulsiones judiciales a migrantes por droga y delitos violentos: Variación de las cifras y dificultades del proceso
&gt; En relación a los últimos datos disponibles, abogados expertos en migración explican el marco normativo que rige este tipo de… https://t.co/vrPwkZpysN"
Tweet,"EMOL SOCIAL FACTS | Ley corta de Isapres: Los efectos, montos y el impacto financiero para las aseguradoras de salud
&gt; Gremios, parlamentarios y expertos abordan los lineamientos de esta moción legislativa, los efectos que generará en estas empresas y los plazos para restituir… https://t.co/cEvq6zlMPC"
Tweet,"EMOL SOCIAL FACTS | Ley amplía facultades policiales para el control migratorio: El detalle y los cambios que implica
&gt; Abogados explican esta nueva normativa, las principales modificaciones que introduce y lo que se puede esperar de su aplicación.
https://t.co/FJV8LV5vMJ https://t.co/nS9bbaHdzq"
Tweet,"EMOL SOCIAL FACTS | Triunfo Republicano: Los factores que pesaron para su victoria electoral
&gt; Analistas abordan resultados históricos que anotó la derecha en las votaciones de este domingo, exponiendo el impacto y causas que llevaron a esta amplia representación.… https://t.co/VwV0iXNki1"
